pincode,city,district,state,lat,lng
123024,Satnali SO,Mahendragarh,Haryana,28.3783333,75.9656944
123027,Kanina SO,Mahendragarh,Haryana,28.3333889,76.3052778
123028,Nangal Sirohi SO,Mahendragarh,Haryana,27.8916389,76.1113056
123029,Buddin BO,Mahendragarh,Haryana,28.25814,76.139164
123031,Central University Haryana Mohindergarh SO,Mahendragarh,Haryana,28.271019,76.149389
123034,Dhana BO,Mahendragarh,Haryana,28.258604,76.227683
123035,Palhawas SO,Rewari,Haryana,28.3561667,76.62175
123101,Basbatori BO,Rewari,Haryana,28.201261,76.485949
123102,Pali BO,Rewari,Haryana,28.145891,76.394749
123103,Khol SO,Rewari,Haryana,28.1728056,76.402
123106,Dharuhera SO,Rewari,Haryana,28.2306667,76.80025
123110,Industrial Area Dharuhera SO,Rewari,Haryana,28.2335556,77.8032778
123301,Guriani SO,Rewari,Haryana,28.3571944,76.5355
123302,Tumna BO,Rewari,Haryana,28.399192,76.483651
123303,Bisowa BO,Rewari,Haryana,28.409434,76.397007
123401,Rewari SO,Rewari,Haryana,28.0501111,76.1168889
123411,Dahina SO,Rewari,Haryana,28.2938611,76.3839722
123412,Rajgarh BO,Rewari,Haryana,28.097334,76.515583
123501,Nangal Shahbazpur BO,Rewari,Haryana,28.069873,76.579918
124001,Model Town SO Rohtak,Rohtak,Haryana,28.405859,76.215935
124010,Bhali Anandpur BO,Rohtak,Haryana,28.231475,75.748085
124021,Maina BO,Rohtak,Haryana,28.452977,76.378498
124022,Bahu Akbarpur BO,Rohtak,Haryana,28.671593,76.748085
124102,Dujana SO,Jhajjar,Haryana,28.6827222,76.6320833
124103,Khatiwas BO,Jhajjar,Haryana,28.552824,76.554108
124104,Nehru College Jhajjar SO,Jhajjar,Haryana,28.6125278,76.6875833
124105,Bhupnia BO,Jhajjar,Haryana,28.513312,76.866875
124106,Sehlenga BO,Jhajjar,Haryana,28.405859,76.215935
124107,Chhochi BO,Jhajjar,Haryana,28.634988,76.823959
124108,Machrauli SO,Jhajjar,Haryana,28.4758889,76.6593889
124109,Tumbaheri BO,Jhajjar,Haryana,28.414786,76.540718
124111,Ajaib BO,Rohtak,Haryana,28.681179,76.510506
124112,Saman BO,Rohtak,Haryana,28.405859,76.215935
124113,Katesra BO,Rohtak,Haryana,28.54651,76.683197
124141,Power Plant Jharli SO,Jhajjar,Haryana,28.8955833,76.5925278
124142,Bahu SO,Jhajjar,Haryana,28.4542222,76.3253611
124146,Sahlawas SO,Jhajjar,Haryana,28.4555833,76.4654167
124201,Bakra BO,Jhajjar,Haryana,28.482253,76.301422
124202,Sewana BO,Jhajjar,Haryana,28.552824,76.554108
124303,Chamaria BO,Rohtak,Haryana,28.490702,76.515484
124401,Dhamar BO,Rohtak,Haryana,28.503525,76.599255
124404,Nilothi BO,Jhajjar,Haryana,28.634988,76.823959
124406,Bakheta BO,Rohtak,Haryana,28.605585,76.620026
124411,Banyani BO,Rohtak,Haryana,28.452977,76.378498
124412,Kakrana BO,Rohtak,Haryana,28.605585,76.620026
124501,Rohad BO,Jhajjar,Haryana,28.452977,76.378498
124504,Chudani BO,Jhajjar,Haryana,28.655326,76.753407
124505,LADRAWAN BO,Jhajjar,Haryana,28.513312,76.866875
124506,Mandothi SO,Jhajjar,Haryana,28.681179,76.902704
124507,IABahadurgarh SO,Jhajjar,Haryana,28.681179,76.902704
124508,Luksar BO,Jhajjar,Haryana,28.4153,77.5547
124513,Nindana SO,Rohtak,Haryana,29.0100277,76.3781722
124514,Sunderpur BO,Rohtak,Haryana,28.503525,76.599255
125001,Mini Sectthisar SO,Hisar,Haryana,29.1333611,75.7080278
125004,Sarsana BO,Hisar,Haryana,29.1497222,75.70825
125005,Vidut Nagar Hisar SO,Hisar,Haryana,28.1336389,75.7558611
125006,Dahima BO,Hisar,Haryana,29.1123472,75.1883777
125007,Gawar BO,Hisar,Haryana,29.1324512,75.5500702
125011,CSF Hisar BO,Hisar,Haryana,29.191513,75.695714
125033,Sultanpur BO,Hisar,Haryana,28.6822222,76.9312
125037,Kanwari BO,Hisar,Haryana,28.9448611,75.8261241
125038,Khanda Kheri SO,Hisar,Haryana,29.188,76.2245833
125039,Budana BO,Hisar,Haryana,29.2246111,76.1387501
125042,Kharbala BO,Hisar,Haryana,29.1086944,75.5512778
125044,Bhagana BO,Hisar,Haryana,29.1288333,75.7844722
125047,Thaska BO,Hisar,Haryana,29.270192,75.693532
125048,Khara Kheri BO,Fatehabad,Haryana,29.191513,74.079947
125049,Kheri Gangan BO,Hisar,Haryana,29.1594444,75.5712778
125050,Fatehabd Kty SO,Fatehabad,Haryana,29.5035,75.4700556
125051,M S Rattia SO,Fatehabad,Haryana,29.1594444,75.5712778
125052,Ladwi BO,Hisar,Haryana,28.1817777,75.4726388
125053,Suli Khera BO,Fatehabad,Haryana,29.378824,75.031852
125054,Patli Dabar BO,Sirsa,Haryana,29.5461388,75.2148333
125055,Begu Road Sirsa SO,Sirsa,Haryana,29.5269666,75.0322166
125056,JCD Vidyapeeth Sirsa,Sirsa,Haryana,29.5347778,75.0320833
125058,Mochiwali BO,Sirsa,Haryana,29.4503055,75.1193333
125060,RASULPUR BO,Sirsa,Haryana,29.533766,75.031852
125075,Nakora BO,Sirsa,Haryana,29.5275277,74.7394722
125076,Kharian BO,Sirsa,Haryana,29.5235833,74.8406388
125077,Nezadela Khurd BO,Sirsa,Haryana,29.7654166,74.8992777
125078,Bapp BO,Sirsa,Haryana,29.6993611,75.0066388
125101,Jandwala Bishnoian BO,Sirsa,Haryana,29.7802222,74.5243055
125102,Berwala Khurd BO,Sirsa,Haryana,29.4490833,74.6628611
125103,Kaluana BO,Sirsa,Haryana,29.78325,74.7477222
125104,Lohgarh BO,Sirsa,Haryana,29.9591388,74.6981111
125106,Diwana BO,Fatehabad,Haryana,29.6745555,75.7301111
125110,Sherpura BO,Sirsa,Haryana,29.3710277,75.1261388
125111,Dhani Gopal BO,Fatehabad,Haryana,29.2100833,75.7090277
125112,Khairi BO,Hisar,Haryana,29.5743333,75.7863055
125113,Saniana BO,Fatehabad,Haryana,29.5065833,76.3382222
125120,Amani BO,Fatehabad,Haryana,29.672047,75.857027
125121,Barwala SO Hisar,Hisar,Haryana,29.1594444,75.5712778
125133,Mundlian BO,Fatehabad,Haryana,29.5347777,75.0320833
125201,Jalalana BO,Sirsa,Haryana,29.82675,74.9754166
126101,Kerela B.O,Jind,Haryana,29.3,36.3
126102,Ram Rai B.O,Jind,Haryana,28.9,36.3
126110,Dalamwala B.O,Jind,Haryana,28.11111,29.4444
126111,Pegan B.O,Jind,Haryana,23.36,36.32
126112,Karsindu B.O,Jind,Haryana,22.25,21.12
126113,DHARAULI,Jind,Haryana,29.45,30.14
126114,Shamlo Kalan S.O,Jind,Haryana,29.2098056,76.39675
126115,Barsola B.O,Jind,Haryana,26.02,26.02
126116,Rajgarh Gurthali B.O,Jind,Haryana,23.5,23.5
126125,Chuharpur B.O,Jind,Haryana,29.3,36.3
126152,Sachha Khera B.O,Jind,Haryana,29.5902777,76.1099166
127021,Lohar Bazar SO,Bhiwani,Haryana,28.7752,75.9928
127022,Dudhwa BO,Charki Dadri,Haryana,28.4614,76.2609
127025,Aun BO,Charki Dadri,Haryana,28.7784,76.3418
127026,Birhi Kalan SO,Charki Dadri,Haryana,28.5997,76.1517
127027,Chang SO,Bhiwani,Haryana,28.8837,76.2392
127028,Serla BO,Bhiwani,Haryana,28.6296,75.6179
